"Order"	"PID"	"Parcel.ID"	"MS.SubClass"	"MS.Zoning"	"Lot.Frontage"	"Lot.Area"	"Street"	"Alley"	"Lot.Shape"	"Land.Contour"	"Utilities"	"Lot.Config"	"Land.Slope"	"Neighborhood"	"Condition.1"	"Condition.2"	"Bldg.Type"	"House.Style"	"Overall.Qual"	"Overall.Cond"	"Year.Built"	"Year.Remod.Add"	"Roof.Style"	"Roof.Matl"	"Exterior.1st"	"Exterior.2nd"	"Mas.Vnr.Type"	"Mas.Vnr.Area"	"Exter.Qual"	"Exter.Cond"	"Foundation"	"Bsmt.Qual"	"Bsmt.Cond"	"Bsmt.Exposure"	"BsmtFin.Type.1"	"BsmtFin.SF.1"	"BsmtFin.Type.2"	"BsmtFin.SF.2"	"Bsmt.Unf.SF"	"Total.Bsmt.SF"	"Heating"	"Heating.QC"	"Central.Air"	"Electrical"	"X1st.Flr.SF"	"X2nd.Flr.SF"	"Low.Qual.Fin.SF"	"Gr.Liv.Area"	"Bsmt.Full.Bath"	"Bsmt.Half.Bath"	"Full.Bath"	"Half.Bath"	"Bedroom.AbvGr"	"Kitchen.AbvGr"	"Kitchen.Qual"	"TotRms.AbvGrd"	"Functional"	"Fireplaces"	"Fireplace.Qu"	"Garage.Type"	"Garage.Yr.Blt"	"Garage.Finish"	"Garage.Cars"	"Garage.Area"	"Garage.Qual"	"Garage.Cond"	"Paved.Drive"	"Wood.Deck.SF"	"Open.Porch.SF"	"Enclosed.Porch"	"X3Ssn.Porch"	"Screen.Porch"	"Pool.Area"	"Pool.QC"	"Fence"	"Misc.Feature"	"Misc.Val"	"Mo.Sold"	"Yr.Sold"	"Sale.Type"	"Sale.Condition"	"SalePrice"
2593	535353180	535353180	190	"RL"	94	22136	"Pave"	NA	"Reg"	"Lvl"	"AllPub"	"Inside"	"Gtl"	"OldTown"	"Artery"	"Norm"	"2fmCon"	"1.5Fin"	5	5	1925	1975	"Gable"	"CompShg"	"MetalSd"	"MetalSd"	"None"	0	"TA"	"Fa"	"CBlock"	"TA"	"TA"	"Mn"	"GLQ"	1018	"Unf"	0	1153	2171	"GasA"	"TA"	"Y"	"SBrkr"	1392	1248	0	2640	2	0	2	1	5	1	"TA"	10	"Maj1"	1	"Gd"	"Attchd"	1977	"RFn"	3	1008	"TA"	"TA"	"N"	631	48	148	0	0	0	NA	NA	NA	0	7	2006	"WD "	"Normal"	180000
1862	533352075	533352075	90	"RL"	NA	18890	"Pave"	NA	"IR1"	"Lvl"	"AllPub"	"Inside"	"Gtl"	"Sawyer"	"Feedr"	"RRAe"	"Duplex"	"1.5Fin"	5	5	1977	1977	"Shed"	"CompShg"	"Plywood"	"Plywood"	"None"	1	"TA"	"TA"	"CBlock"	"Gd"	"TA"	"No"	"GLQ"	498	"Rec"	211	652	1361	"GasA"	"Ex"	"Y"	"SBrkr"	1361	1259	0	2620	0	0	2	2	4	2	"TA"	12	"Typ"	1	"TA"	"BuiltIn"	1977	"RFn"	2	600	"TA"	"TA"	"N"	155	24	145	0	0	0	NA	NA	"Gar2"	8300	8	2007	"WD "	"Normal"	190000
499	528344100	528344100	60	"RL"	98	12203	"Pave"	NA	"IR1"	"Lvl"	"AllPub"	"Corner"	"Gtl"	"NoRidge"	"Norm"	"Norm"	"1Fam"	"2Story"	8	5	1998	1999	"Hip"	"CompShg"	"VinylSd"	"VinylSd"	"BrkFace"	975	"Gd"	"TA"	"PConc"	"Gd"	"TA"	"No"	"GLQ"	854	"Unf"	0	371	1225	"GasA"	"Ex"	"Y"	"SBrkr"	1276	1336	0	2612	1	0	2	1	4	1	"Gd"	8	"Typ"	1	"TA"	"Attchd"	1998	"Fin"	3	676	"TA"	"TA"	"Y"	250	0	0	0	0	0	NA	NA	NA	0	7	2009	"WD "	"Normal"	336000
667	535402010	535402010	90	"RL"	81	9671	"Pave"	NA	"Reg"	"Lvl"	"AllPub"	"Corner"	"Gtl"	"NAmes"	"Artery"	"Norm"	"Duplex"	"2Story"	6	5	1969	1969	"Gable"	"CompShg"	"MetalSd"	"MetalSd"	"Stone"	480	"TA"	"TA"	"CBlock"	"TA"	"TA"	"No"	"Unf"	0	"Unf"	0	1248	1248	"GasA"	"TA"	"Y"	"SBrkr"	1248	1296	0	2544	0	0	2	2	6	2	"TA"	12	"Typ"	0	NA	"Attchd"	1969	"RFn"	3	907	"TA"	"TA"	"Y"	0	0	0	0	0	0	NA	NA	NA	0	8	2009	"WD "	"Normal"	190000
2028	903427040	903427040	50	"RM"	60	8520	"Pave"	"Grvl"	"Reg"	"Lvl"	"AllPub"	"Inside"	"Gtl"	"OldTown"	"Artery"	"Norm"	"1Fam"	"1.5Fin"	6	7	1916	1950	"Gable"	"CompShg"	"Stucco"	"Stucco"	"None"	0	"TA"	"Gd"	"BrkTil"	"TA"	"TA"	"No"	"Rec"	168	"LwQ"	546	0	714	"GasW"	"TA"	"N"	"SBrkr"	1664	862	0	2526	0	0	2	0	5	1	"Gd"	10	"Typ"	1	"Gd"	"Detchd"	1916	"Unf"	1	216	"TA"	"TA"	"Y"	88	15	0	0	0	0	NA	"GdWo"	NA	0	8	2007	"CWD"	"Family"	136000
350	527127100	527127100	120	"RL"	28	7296	"Pave"	NA	"IR1"	"Lvl"	"AllPub"	"CulDSac"	"Gtl"	"StoneBr"	"Norm"	"Norm"	"TwnhsE"	"1Story"	8	5	2004	2005	"Gable"	"CompShg"	"CemntBd"	"CmentBd"	"None"	0	"Gd"	"TA"	"PConc"	"Ex"	"TA"	"Av"	"GLQ"	1965	"Unf"	0	243	2208	"GasA"	"Ex"	"Y"	"SBrkr"	2522	0	0	2522	1	0	2	0	1	1	"Gd"	8	"Typ"	1	"Gd"	"Attchd"	2004	"Fin"	2	564	"TA"	"TA"	"Y"	182	57	0	0	0	0	NA	NA	NA	0	11	2009	"WD "	"Normal"	375000
1012	527212050	527212050	60	"RL"	77	11198	"Pave"	NA	"IR1"	"Lvl"	"AllPub"	"Inside"	"Gtl"	"StoneBr"	"Norm"	"Norm"	"1Fam"	"2Story"	9	5	2005	2007	"Hip"	"CompShg"	"VinylSd"	"VinylSd"	"BrkFace"	245	"Gd"	"TA"	"PConc"	"Gd"	"Gd"	"No"	"Unf"	0	"Unf"	0	1122	1122	"GasA"	"Ex"	"Y"	"SBrkr"	1134	1370	0	2504	0	0	2	1	4	1	"Ex"	11	"Typ"	1	"Gd"	"BuiltIn"	2005	"Fin"	3	656	"TA"	"TA"	"Y"	144	39	0	0	0	0	NA	NA	NA	0	6	2008	"WD "	"Normal"	325000
2452	528363070	528363070	60	"RL"	NA	10236	"Pave"	NA	"IR1"	"Lvl"	"AllPub"	"Inside"	"Gtl"	"NoRidge"	"Norm"	"Norm"	"1Fam"	"2Story"	8	5	1994	1995	"Gable"	"CompShg"	"VinylSd"	"VinylSd"	"BrkFace"	501	"Gd"	"TA"	"PConc"	"Gd"	"TA"	"Gd"	"GLQ"	380	"BLQ"	168	742	1290	"GasA"	"Ex"	"Y"	"SBrkr"	1305	1189	0	2494	1	0	2	1	4	1	"Gd"	9	"Typ"	1	"TA"	"Attchd"	1994	"Fin"	3	803	"TA"	"TA"	"Y"	200	95	0	0	0	0	NA	"GdPrv"	NA	0	6	2006	"WD "	"Normal"	321000
2273	916477060	916477060	60	"RL"	NA	11800	"Pave"	NA	"IR1"	"Lvl"	"AllPub"	"Inside"	"Gtl"	"Timber"	"Norm"	"Norm"	"1Fam"	"2Story"	7	5	2003	2004	"Gable"	"CompShg"	"VinylSd"	"VinylSd"	"BrkFace"	94	"Gd"	"TA"	"PConc"	"Gd"	"TA"	"Gd"	"GLQ"	766	"Unf"	0	356	1122	"GasA"	"Ex"	"Y"	"SBrkr"	1146	1340	0	2486	1	0	3	1	5	1	"Gd"	10	"Typ"	1	"Gd"	"BuiltIn"	2003	"Fin"	2	452	"TA"	"TA"	"Y"	143	32	0	0	0	0	NA	NA	NA	0	7	2007	"WD "	"Normal"	279900
2687	903425190	903425190	50	"RM"	90	33120	"Pave"	NA	"IR3"	"Lvl"	"AllPub"	"Inside"	"Gtl"	"OldTown"	"RRAn"	"Feedr"	"1Fam"	"1.5Fin"	6	5	1962	1962	"Gable"	"CompShg"	"BrkFace"	"Wd Sdng"	"None"	0	"TA"	"TA"	"CBlock"	"TA"	"TA"	"No"	"Unf"	0	"Unf"	0	1595	1595	"GasA"	"TA"	"Y"	"SBrkr"	1611	875	0	2486	0	0	2	0	5	1	"TA"	8	"Typ"	1	"Gd"	"Detchd"	1962	"Unf"	2	576	"TA"	"TA"	"Y"	0	0	0	0	0	0	NA	NA	NA	0	10	2006	"WD "	"Normal"	220000
1998	902330090	902330090	75	"RM"	75	13500	"Pave"	"Grvl"	"Reg"	"Lvl"	"AllPub"	"Corner"	"Gtl"	"OldTown"	"Norm"	"Norm"	"1Fam"	"2.5Unf"	7	8	1879	1987	"Gable"	"CompShg"	"Wd Sdng"	"Wd Sdng"	"None"	0	"TA"	"Gd"	"PConc"	"TA"	"TA"	"No"	"Unf"	0	"Unf"	0	819	819	"GasA"	"TA"	"Y"	"FuseA"	1312	1142	0	2454	0	0	2	0	3	1	"TA"	8	"Typ"	1	"Gd"	"Attchd"	1950	"Unf"	2	576	"TA"	"TA"	"N"	0	148	150	0	0	0	NA	"MnPrv"	NA	0	2	2007	"WD "	"Normal"	185000
2151	907270040	907270040	60	"RL"	66	16226	"Pave"	NA	"IR3"	"Lvl"	"AllPub"	"Inside"	"Gtl"	"CollgCr"	"Norm"	"Norm"	"1Fam"	"2Story"	8	5	1998	1999	"Gable"	"CompShg"	"VinylSd"	"VinylSd"	"None"	0	"Gd"	"TA"	"PConc"	"Gd"	"TA"	"No"	"GLQ"	281	"Unf"	0	747	1028	"GasA"	"Ex"	"Y"	"SBrkr"	1210	1242	0	2452	0	0	2	1	4	1	"Gd"	9	"Typ"	1	"TA"	"BuiltIn"	1998	"Fin"	2	683	"TA"	"TA"	"Y"	208	50	0	0	0	0	NA	NA	NA	0	5	2007	"WD "	"Normal"	267000
2605	535382020	535382020	190	"RL"	60	10800	"Pave"	NA	"Reg"	"Lvl"	"AllPub"	"Corner"	"Gtl"	"OldTown"	"Norm"	"Norm"	"2fmCon"	"1.5Fin"	5	4	1900	1970	"Gable"	"CompShg"	"Wd Sdng"	"Wd Sdng"	"None"	0	"TA"	"Fa"	"CBlock"	"TA"	"Fa"	"No"	"BLQ"	664	"Unf"	0	290	954	"GasA"	"TA"	"N"	"FuseA"	1766	648	0	2414	0	0	2	0	3	2	"TA"	10	"Mod"	1	"Gd"	"Attchd"	1970	"Unf"	2	520	"TA"	"Fa"	"N"	142	0	0	0	0	0	NA	NA	NA	0	5	2006	"ConLD"	"Normal"	160000
938	909475040	909475040	20	"RL"	NA	17597	"Pave"	NA	"Reg"	"Bnk"	"AllPub"	"Inside"	"Gtl"	"Crawfor"	"Norm"	"Norm"	"1Fam"	"1Story"	7	9	1971	2009	"Hip"	"CompShg"	"BrkFace"	"BrkFace"	"None"	0	"Gd"	"Gd"	"CBlock"	"Gd"	"TA"	"No"	"GLQ"	803	"ALQ"	419	581	1803	"GasA"	"TA"	"Y"	"SBrkr"	2365	0	0	2365	1	0	2	0	3	1	"Ex"	7	"Min1"	2	"Gd"	"Attchd"	1971	"Fin"	2	551	"TA"	"TA"	"Y"	200	144	0	0	0	0	NA	"GdPrv"	NA	0	7	2009	"WD "	"Normal"	315000
2395	528142070	528142070	60	"RL"	82	11643	"Pave"	NA	"IR1"	"Lvl"	"AllPub"	"Inside"	"Gtl"	"NridgHt"	"Norm"	"Norm"	"1Fam"	"2Story"	8	5	2005	2006	"Hip"	"CompShg"	"MetalSd"	"MetalSd"	"BrkFace"	142	"Gd"	"TA"	"PConc"	"Ex"	"TA"	"Av"	"GLQ"	880	"Unf"	0	644	1524	"GasA"	"Ex"	"Y"	"SBrkr"	1544	814	0	2358	1	0	2	1	4	1	"Ex"	10	"Typ"	1	"Gd"	"BuiltIn"	2005	"Fin"	3	784	"TA"	"TA"	"Y"	120	34	0	0	0	0	NA	NA	NA	0	8	2006	"New"	"Partial"	329900
2865	909281010	909281010	70	"RL"	80	16560	"Pave"	NA	"IR1"	"Lvl"	"AllPub"	"Inside"	"Gtl"	"Crawfor"	"Norm"	"Norm"	"1Fam"	"2Story"	6	8	1932	1950	"Gable"	"CompShg"	"Wd Sdng"	"Wd Sdng"	"None"	0	"TA"	"TA"	"BrkTil"	"Gd"	"TA"	"No"	"Rec"	503	"Unf"	0	449	952	"GasA"	"TA"	"Y"	"SBrkr"	1170	1175	0	2345	0	0	2	1	4	1	"TA"	9	"Typ"	1	"Gd"	"Detchd"	1932	"Unf"	2	360	"TA"	"TA"	"Y"	0	0	0	0	0	0	NA	NA	NA	0	7	2006	"WD "	"Normal"	239000
1052	528102110	528102110	60	"RL"	96	12474	"Pave"	NA	"Reg"	"Lvl"	"AllPub"	"Inside"	"Gtl"	"NridgHt"	"Norm"	"Norm"	"1Fam"	"2Story"	10	5	2007	2008	"Gable"	"CompShg"	"VinylSd"	"VinylSd"	"Stone"	272	"Ex"	"TA"	"PConc"	"Ex"	"TA"	"Av"	"GLQ"	1280	"Unf"	0	402	1682	"GasA"	"Ex"	"Y"	"SBrkr"	1742	590	0	2332	1	0	2	1	3	1	"Ex"	9	"Typ"	1	"Ex"	"BuiltIn"	2008	"Fin"	3	846	"TA"	"TA"	"Y"	196	134	0	0	0	0	NA	NA	NA	0	8	2008	"New"	"Partial"	426000
2220	909282020	909282020	70	"RL"	61	7259	"Pave"	NA	"IR1"	"Lvl"	"AllPub"	"Inside"	"Mod"	"Crawfor"	"Norm"	"Norm"	"1Fam"	"2Story"	6	8	1945	2002	"Gambrel"	"CompShg"	"Wd Sdng"	"Wd Sdng"	"None"	0	"TA"	"TA"	"CBlock"	"TA"	"TA"	"No"	"ALQ"	774	"LwQ"	150	104	1028	"GasA"	"Ex"	"Y"	"SBrkr"	1436	884	0	2320	1	0	2	1	3	1	"Gd"	9	"Typ"	1	"TA"	"Detchd"	1945	"Unf"	1	180	"TA"	"TA"	"Y"	224	0	0	0	0	0	NA	"MnPrv"	NA	0	7	2007	"WD "	"Normal"	259500
2338	527226010	527226010	60	"RL"	NA	14762	"Pave"	NA	"IR2"	"Lvl"	"AllPub"	"Corner"	"Gtl"	"Gilbert"	"Feedr"	"Norm"	"1Fam"	"2Story"	5	6	1948	1950	"Gable"	"CompShg"	"Plywood"	"Plywood"	"None"	0	"TA"	"TA"	"Slab"	NA	NA	NA	NA	0	NA	0	0	0	"GasA"	"Gd"	"Y"	"SBrkr"	1547	720	53	2320	0	0	2	0	2	1	"TA"	7	"Typ"	1	"TA"	"Attchd"	1979	"Unf"	2	672	"TA"	"TA"	"P"	120	144	0	0	0	0	NA	NA	NA	0	5	2006	"WD "	"Normal"	169000
1426	906412010	906412010	20	"RL"	91	11778	"Pave"	NA	"Reg"	"Lvl"	"AllPub"	"Inside"	"Gtl"	"CollgCr"	"Norm"	"Norm"	"1Fam"	"1Story"	9	5	2008	2008	"Hip"	"CompShg"	"VinylSd"	"VinylSd"	"Stone"	554	"Gd"	"TA"	"PConc"	"Gd"	"TA"	"Gd"	"GLQ"	2085	"Unf"	0	186	2271	"GasA"	"Ex"	"Y"	"SBrkr"	2276	0	0	2276	1	0	2	0	3	1	"Ex"	7	"Typ"	2	"Gd"	"Attchd"	2008	"RFn"	3	1348	"Gd"	"TA"	"Y"	0	0	70	0	255	0	NA	NA	NA	0	6	2008	"WD "	"Abnorml"	475000
1460	907255020	907255020	60	"RL"	NA	9240	"Pave"	NA	"Reg"	"Lvl"	"AllPub"	"Inside"	"Gtl"	"CollgCr"	"Norm"	"Norm"	"1Fam"	"2Story"	8	5	2001	2002	"Gable"	"CompShg"	"VinylSd"	"VinylSd"	"BrkFace"	396	"Gd"	"TA"	"PConc"	"Gd"	"TA"	"No"	"Unf"	0	"Unf"	0	1055	1055	"GasA"	"Ex"	"Y"	"SBrkr"	1055	1208	0	2263	0	0	2	1	3	1	"Gd"	7	"Typ"	1	"TA"	"BuiltIn"	2001	"Fin"	2	905	"TA"	"TA"	"Y"	0	45	0	0	189	0	NA	NA	NA	0	9	2008	"WD "	"Normal"	287000
1586	916477020	916477020	60	"RL"	85	12244	"Pave"	NA	"Reg"	"Lvl"	"AllPub"	"Inside"	"Gtl"	"Timber"	"Norm"	"Norm"	"1Fam"	"2Story"	8	5	2003	2003	"Hip"	"CompShg"	"VinylSd"	"VinylSd"	"Stone"	226	"Gd"	"TA"	"PConc"	"Gd"	"TA"	"Gd"	"GLQ"	871	"Unf"	0	611	1482	"GasA"	"Ex"	"Y"	"SBrkr"	1482	780	0	2262	1	0	2	1	4	1	"Gd"	10	"Typ"	2	"Gd"	"Attchd"	2003	"Fin"	3	749	"TA"	"TA"	"Y"	168	0	0	0	0	0	NA	NA	NA	0	8	2008	"WD "	"Normal"	305000
813	906226120	906226120	90	"RL"	64	7018	"Pave"	NA	"Reg"	"Lvl"	"AllPub"	"Inside"	"Gtl"	"SawyerW"	"Feedr"	"Norm"	"Duplex"	"2Story"	5	5	1979	1979	"Gable"	"CompShg"	"Plywood"	"Plywood"	"None"	0	"TA"	"TA"	"Slab"	NA	NA	NA	NA	0	NA	0	0	0	"GasA"	"TA"	"Y"	"SBrkr"	1120	1120	0	2240	0	0	2	0	6	2	"TA"	12	"Typ"	0	NA	"Detchd"	1979	"Unf"	2	528	"TA"	"TA"	"Y"	154	0	0	0	0	0	NA	NA	NA	0	6	2009	"WD "	"Alloca"	142953
753	903430060	903430060	75	"RM"	92	5520	"Pave"	NA	"Reg"	"Lvl"	"AllPub"	"Corner"	"Gtl"	"OldTown"	"Norm"	"Norm"	"1Fam"	"2.5Fin"	6	6	1912	1950	"Gable"	"CompShg"	"Wd Sdng"	"Wd Sdng"	"None"	0	"TA"	"TA"	"CBlock"	"TA"	"TA"	"No"	"Unf"	0	"Unf"	0	755	755	"GasA"	"Ex"	"Y"	"SBrkr"	929	929	371	2229	0	0	1	0	5	1	"TA"	8	"Typ"	0	NA	NA	NA	NA	0	0	NA	NA	"Y"	0	198	30	0	0	0	NA	"MnPrv"	NA	0	7	2009	"WD "	"Abnorml"	104000
443	528142040	528142040	60	"RL"	74	8834	"Pave"	NA	"Reg"	"Lvl"	"AllPub"	"Inside"	"Gtl"	"NridgHt"	"Norm"	"Norm"	"1Fam"	"2Story"	9	5	2004	2005	"Hip"	"CompShg"	"VinylSd"	"VinylSd"	"Stone"	216	"Gd"	"TA"	"PConc"	"Ex"	"TA"	"No"	"GLQ"	1170	"Unf"	0	292	1462	"GasA"	"Ex"	"Y"	"SBrkr"	1462	762	0	2224	1	0	2	1	4	1	"Ex"	10	"Typ"	1	"Gd"	"Attchd"	2004	"Fin"	3	738	"TA"	"TA"	"Y"	184	0	0	0	0	0	NA	NA	NA	0	6	2009	"WD "	"Normal"	350000
