Player	position	Team	conference	salary
"Marvin Williams, PF"	PF	CharlotteHornets	eastern	13.16875
"Michael Kidd-Gilchrist, SF"	SF	CharlotteHornets	eastern	13
"Tyson Chandler, C"	C	PhoenixSuns	western	13
"Eric Gordon, SG"	SG	HoustonRockets	western	12.94302
"Kenneth Faried, PF"	PF	DenverNuggets	western	12.921348
"Marcin Gortat, C"	C	WashingtonWizards	eastern	12.782609
"Cody Zeller, C"	C	CharlotteHornets	eastern	12.58427
"Arron Afflalo, SG"	SG	SacramentoKings	western	12.5
"Miles Plumlee, C"	C	AtlantaHawks	eastern	12.5
"Zach Randolph, PF"	PF	SacramentoKings	western	12.307692
"Nikola Vucevic, C"	C	OrlandoMagic	eastern	12.25
"Solomon Hill, SF"	SF	NewOrleansPelicans	western	12.236535
"Nikola Pekovic, C"	C	MinnesotaTimberwolves	western	12.1
"Kemba Walker, PG"	PG	CharlotteHornets	eastern	12
"Derrick Favors, PF"	PF	UtahJazz	western	12
"Jeremy Lin, PG"	PG	BrooklynNets	eastern	12
"Austin Rivers, PG"	PG	LAClippers	western	11.825
"Courtney Lee, SG"	SG	NewYorkKnicks	eastern	11.74789
"Jordan Clarkson, PG"	PG	LosAngelesLakers	western	11.5625
"John Henson, PF"	PF	MilwaukeeBucks	eastern	11.422536
"Patty Mills, PG"	PG	SanAntonioSpurs	western	11.235955
"Wilson Chandler, SF"	SF	DenverNuggets	western	11.233146
"Monta Ellis, SG"	SG	IndianaPacers	eastern	11.227
"Amir Johnson, PF"	PF	Philadelphia76ers	eastern	11
"Dion Waiters, SG"	SG	MiamiHeat	eastern	11
"Alec Burks, SG"	SG	UtahJazz	western	10.845506
"Kelly Olynyk, C"	C	MiamiHeat	eastern	10.607169
"Omer Asik, C"	C	NewOrleansPelicans	western	10.595505
"Joe Johnson, SF"	SF	UtahJazz	western	10.505
"Terrence Ross, SF"	SF	OrlandoMagic	eastern	10.5
"Bojan Bogdanovic, SG"	SG	IndianaPacers	eastern	10.5
"Jon Leuer, PF"	PF	DetroitPistons	eastern	10.497319
"Iman Shumpert, SG"	SG	ClevelandCavaliers	eastern	10.337079
"Maurice Harkless, SF"	SF	PortlandTrailBlazers	western	10.162922
"Danny Green, SG"	SG	SanAntonioSpurs	western	10
"Jared Dudley, SF"	SF	PhoenixSuns	western	10
"Darren Collison, PG"	PG	IndianaPacers	eastern	10
"Meyers Leonard, PF"	PF	PortlandTrailBlazers	western	9.904495
"Tony Snell, SF"	SF	MilwaukeeBucks	eastern	9.88764
"Al Jefferson, C"	C	IndianaPacers	eastern	9.769821
"Matthew Dellavedova, PG"	PG	MilwaukeeBucks	eastern	9.6075
"Bogdan Bogdanovic, SG"	SG	SacramentoKings	western	9.41228
"Andre Roberson, SG"	SG	OklahomaCityThunder	western	9.25926
"Trevor Booker, PF"	PF	BrooklynNets	eastern	9.125
"Dwight Powell, PF"	PF	DallasMavericks	western	9.003125
"Gerald Henderson, SG"	SG	Philadelphia76ers	eastern	9
"Jerryd Bayless, PG"	PG	Philadelphia76ers	eastern	9
"Avery Bradley, PG"	PG	DetroitPistons	eastern	8.808989
"E'Twaun Moore, SG"	SG	NewOrleansPelicans	western	8.445024
"Rudy Gay, SF"	SF	SanAntonioSpurs	western	8.406
"Kosta Koufos, C"	C	SacramentoKings	western	8.393
"Markieff Morris, PF"	PF	WashingtonWizards	eastern	8
"Vince Carter, SG"	SG	SacramentoKings	western	8
"Kevin Garnett, PF"	PF	MinnesotaTimberwolves	western	8
"Tyler Zeller, C"	C	BostonCeltics	eastern	8
"CJ Miles, SF"	SF	TorontoRaptors	eastern	7.936509
"Cristiano Felicio, PF"	PF	ChicagoBulls	eastern	7.8335
"Shaun Livingston, PG"	PG	GoldenStateWarriors	western	7.692308
"Cory Joseph, PG"	PG	IndianaPacers	eastern	7.63
"PJ Tucker, SF"	SF	HoustonRockets	western	7.590035
"Corey Brewer, SG"	SG	LosAngelesLakers	western	7.579366
"Andrew Wiggins, SG"	SG	MinnesotaTimberwolves	western	7.574323
"Boris Diaw, C"	C	UtahJazz	western	7.5
"Darrell Arthur, PF"	PF	DenverNuggets	western	7.464912
"Trevor Ariza, SF"	SF	HoustonRockets	western	7.420912
"Channing Frye, PF"	PF	ClevelandCavaliers	eastern	7.420912
"Festus Ezeli, C"	C	PortlandTrailBlazers	western	7.4
"Al-Farouq Aminu, SF"	SF	PortlandTrailBlazers	western	7.319035
"Cole Aldrich, C"	C	MinnesotaTimberwolves	western	7.3
"D.J. Augustin, PG"	PG	OrlandoMagic	eastern	7.25
"Markelle Fultz, PG"	PG	Philadelphia76ers	eastern	7.02624
"Jeremy Lamb, SG"	SG	CharlotteHornets	eastern	7
"Lou Williams, SG"	SG	LAClippers	western	7
"Rodney Stuckey, PG"	PG	IndianaPacers	eastern	7
"Kyle Korver, SG"	SG	ClevelandCavaliers	eastern	7
"Jae Crowder, SF"	SF	BostonCeltics	eastern	6.796117
"Jabari Parker, PF"	PF	MilwaukeeBucks	eastern	6.782392
"Langston Galloway, SG"	SG	DetroitPistons	eastern	6.666667
"Lance Thomas, SF"	SF	NewYorkKnicks	eastern	6.655325
"Tarik Black, C"	C	HoustonRockets	western	6.555325
"Carl Landry, PF"	PF	Philadelphia76ers	eastern	6.5
"Tim Duncan, C"	C	SanAntonioSpurs	western	6.39375
"Andrew Nicholson, PF"	PF	BrooklynNets	eastern	6.362998
"Ed Davis, PF"	PF	PortlandTrailBlazers	western	6.352531
"Jonathon Simmons, SG"	SG	OrlandoMagic	eastern	6.3
"Lonzo Ball, PG"	PG	LosAngelesLakers	western	6.28656
"Wayne Ellington, SG"	SG	MiamiHeat	eastern	6.27
"Isaiah Thomas, PG"	PG	BostonCeltics	eastern	6.261395
"Karl-Anthony Towns, C"	C	MinnesotaTimberwolves	western	6.21684
"Ben Simmons, F"	F	Philadelphia76ers	eastern	6.16884
"Joel Embiid, C"	C	Philadelphia76ers	eastern	6.100266
"Spencer Hawes, PF"	PF	MilwaukeeBucks	eastern	6.061175
"Marco Belinelli, SG"	SG	AtlantaHawks	eastern	6.060606
"Josh McRoberts, PF"	PF	DallasMavericks	western	6.021175
"Ish Smith, PG"	PG	DetroitPistons	eastern	6
"Shelvin Mack, PG"	PG	OrlandoMagic	eastern	6
"Ersan Ilyasova, PF"	PF	AtlantaHawks	eastern	6
"Dewayne Dedmon, C"	C	AtlantaHawks	eastern	6
"Brandan Wright, PF"	PF	MemphisGrizzlies	western	5.95576
"Wesley Johnson, SF"	SF	LAClippers	western	5.88226
"Tyler Johnson, SG"	SG	MiamiHeat	eastern	5.88126
"Alex Abrines, SG"	SG	OklahomaCityThunder	western	5.725
"Jayson Tatum, SF"	SF	BostonCeltics	eastern	5.6454
"Jared Sullinger, C"	C	PhoenixSuns	western	5.628
"D'Angelo Russell, PG"	PG	BrooklynNets	eastern	5.56236
"Brandon Ingram, F"	F	LosAngelesLakers	western	5.5194
"Patrick Beverley, PG"	PG	LAClippers	western	5.513514
"Aaron Gordon, PF"	PF	OrlandoMagic	eastern	5.50442
"Thabo Sefolosha, SF"	SF	UtahJazz	western	5.5
"Luis Scola, PF"	PF	BrooklynNets	eastern	5.5
"Jason Smith, PF"	PF	WashingtonWizards	eastern	5.225
"Ben McLemore, SG"	SG	MemphisGrizzlies	western	5.2
"Patrick Patterson, PF"	PF	OklahomaCityThunder	western	5.192
"Nick Young, SG"	SG	GoldenStateWarriors	western	5.192
"Josh Jackson, SF"	SF	PhoenixSuns	western	5.09004
"C.J. Watson, PG"	PG	OrlandoMagic	eastern	5
"Dirk Nowitzki, PF"	PF	DallasMavericks	western	5
"Marcus Morris, PF"	PF	BostonCeltics	eastern	5
"Jahlil Okafor, C"	C	Philadelphia76ers	eastern	4.99512
"Dante Exum, PG"	PG	UtahJazz	western	4.992385
"Alexis Ajinca, C"	C	NewOrleansPelicans	western	4.961798
"Jaylen Brown, F"	F	BostonCeltics	eastern	4.95648
"Mike Dunleavy, SG"	SG	AtlantaHawks	eastern	4.8375
"Jameer Nelson, PG"	PG	DenverNuggets	western	4.73605
"Kyle Singler, SF"	SF	OklahomaCityThunder	western	4.6665
"Justin Holiday, SG"	SG	ChicagoBulls	eastern	4.615385
"De'Aaron Fox, PG"	PG	SacramentoKings	western	4.6092
"Marcus Smart, PG"	PG	BostonCeltics	eastern	4.53802
"Kristaps Porzingis, PF"	PF	NewYorkKnicks	eastern	4.5036
"Dragan Bender, PF"	PF	PhoenixSuns	western	4.4688
"Devin Harris, PG"	PG	DallasMavericks	western	4.402546
"Greivis Vasquez, PG"	PG	BrooklynNets	eastern	4.347826
"Jamal Crawford, SG"	SG	MinnesotaTimberwolves	western	4.328
"Aron Baynes, C"	C	BostonCeltics	eastern	4.328
"Jonathan Isaac, SF"	SF	OrlandoMagic	eastern	4.18632
"Lance Stephenson, SF"	SF	IndianaPacers	eastern	4.18
"Julius Randle, PF"	PF	LosAngelesLakers	western	4.149242
"Kyle O'Quinn, C"	C	NewYorkKnicks	eastern	4.0875
"Kris Dunn, PG"	PG	ChicagoBulls	eastern	4.04676
"Jonas Jerebko, PF"	PF	UtahJazz	western	4
"Leandro Barbosa, SG"	SG	PhoenixSuns	western	4
"Jordan Hill, C"	C	MinnesotaTimberwolves	western	4
"Nemanja Bjelica, PF"	PF	MinnesotaTimberwolves	western	3.949999
"Mario Hezonja, SG"	SG	OrlandoMagic	eastern	3.90984
"J.J. Barea, PG"	PG	DallasMavericks	western	3.9039
"Quincy Pondexter, SG"	SG	NewOrleansPelicans	western	3.853931
"Lauri Markkanen, PF"	PF	ChicagoBulls	eastern	3.82164
"Nik Stauskas, SG"	SG	Philadelphia76ers	eastern	3.807147
"Willie Cauley-Stein, C"	C	SacramentoKings	western	3.70416
"Buddy Hield, SG"	SG	SacramentoKings	western	3.67548
"Drew Gooden, PF"	PF	WashingtonWizards	eastern	3.547
"Will Barton, SG"	SG	DenverNuggets	western	3.533333
"Paul Pierce, SF"	SF	LAClippers	western	3.52792
"Noah Vonleh, PF"	PF	PortlandTrailBlazers	western	3.505233
"Frank Ntilikina, G"	G	NewYorkKnicks	eastern	3.50112
"Mike Miller, SG"	SG	DenverNuggets	western	3.5
"Nene Hilario, C"	C	HoustonRockets	western	3.4776
"Zaza Pachulia, C"	C	GoldenStateWarriors	western	3.4776
"Troy Daniels, SG"	SG	MemphisGrizzlies	western	3.40852
"Emmanuel Mudiay, PG"	PG	DenverNuggets	western	3.38148
"Jamal Murray, G"	G	DenverNuggets	western	3.35532
"Elfrid Payton, PG"	PG	OrlandoMagic	eastern	3.33234
"Rajon Rondo, PG"	PG	NewOrleansPelicans	western	3.3
"Doug McDermott, SF"	SF	OklahomaCityThunder	western	3.294994
"Tyreke Evans, SG"	SG	MemphisGrizzlies	western	3.29
"Anthony Tolliver, PF"	PF	DetroitPistons	eastern	3.29
"Dennis Smith Jr., PG"	PG	DallasMavericks	western	3.21828
"Zach LaVine, PG"	PG	ChicagoBulls	eastern	3.202218
"Ekpe Udoh, PF"	PF	UtahJazz	western	3.2
"TJ Warren, SF"	SF	PhoenixSuns	western	3.152931
"Stanley Johnson, SF"	SF	DetroitPistons	eastern	3.0978
"Marquese Chriss, F"	F	PhoenixSuns	western	3.0738
"Zach Collins, C"	C	PortlandTrailBlazers	western	3.05724
"James Ennis III, SF"	SF	MemphisGrizzlies	western	3.02841
"Seth Curry, SG"	SG	DallasMavericks	western	3.02841
"Mindaugas Kuzminskas, F"	F	NewYorkKnicks	eastern	3.025035
"Tomas Satoransky, SG"	SG	WashingtonWizards	eastern	3
"Justin Hamilton, C"	C	TorontoRaptors	eastern	3
"Tibor Pleiss, C"	C	Philadelphia76ers	eastern	3
"Lucas Nogueira, C"	C	TorontoRaptors	eastern	2.947305
"Jusuf Nurkic, C"	C	PortlandTrailBlazers	western	2.947305
"Malik Monk, SG"	SG	CharlotteHornets	eastern	2.90448
"Frank Kaminsky, C"	C	CharlotteHornets	eastern	2.8476
"Jakob Poeltl, C"	C	TorontoRaptors	eastern	2.82564
"Luke Kennard, SG"	SG	DetroitPistons	eastern	2.75928
"Justise Winslow, SF"	SF	MiamiHeat	eastern	2.70504
"Michael Carter-Williams, PG"	PG	CharlotteHornets	eastern	2.7
"Thon Maker, PF"	PF	MilwaukeeBucks	eastern	2.68416
"Cedi Osman, SF"	SF	ClevelandCavaliers	eastern	2.642857
"Donovan Mitchell, SG"	SG	UtahJazz	western	2.62128
"Myles Turner, C"	C	IndianaPacers	eastern	2.56992
"Gary Harris, SG"	SG	DenverNuggets	western	2.550055
"Domantas Sabonis, PF"	PF	IndianaPacers	eastern	2.55
"Reggie Bullock, SF"	SF	DetroitPistons	eastern	2.5
"Richard Jefferson, SF"	SF	ClevelandCavaliers	eastern	2.5
"Malcolm Delaney, G"	G	AtlantaHawks	eastern	2.5
"Bam Adebayo, PF"	PF	MiamiHeat	eastern	2.49036
"Bruno Caboclo, SF"	SF	TorontoRaptors	eastern	2.451225
"Trey Lyles, PF"	PF	DenverNuggets	western	2.4414
"Dario Saric, SF"	SF	Philadelphia76ers	eastern	2.42256
"Taurean Prince, SF"	SF	AtlantaHawks	eastern	2.42256
"Rodney Hood, SG"	SG	UtahJazz	western	2.386864
"Justin Jackson, SF"	SF	SacramentoKings	western	2.36556
"Shabazz Napier, PG"	PG	PortlandTrailBlazers	western	2.36136
"Clint Capela, C"	C	HoustonRockets	western	2.334528
"Devin Booker, SG"	SG	PhoenixSuns	western	2.31936
"Georgios Papagiannis, C"	C	SacramentoKings	western	2.30136
"Justin Patton, C"	C	MinnesotaTimberwolves	western	2.24748
"Guerschon Yabusele, PF"	PF	BostonCeltics	eastern	2.24748
"Cameron Payne, PG"	PG	ChicagoBulls	eastern	2.20344
"Mo Williams, PG"	PG	DenverNuggets	western	2.1945
"Denzel Valentine, SG"	SG	ChicagoBulls	eastern	2.1864
"Kyle Anderson, SF"	SF	SanAntonioSpurs	western	2.151704
"D.J. Wilson, F"	F	MilwaukeeBucks	eastern	2.13504
"Kelly Oubre Jr., SF"	SF	WashingtonWizards	eastern	2.09304
"Juan Hernangomez, PF"	PF	DenverNuggets	western	2.07684
"Kendall Marshall, PG"	PG	UtahJazz	western	2.048257
"T.J. Leaf, PF"	PF	IndianaPacers	eastern	2.02836
"Adreian Payne, PF"	PF	MinnesotaTimberwolves	western	2.02224
"Tim Frazier, PG"	PG	WashingtonWizards	eastern	2
"Terry Rozier, PG"	PG	BostonCeltics	eastern	1.98852
"Kevin Seraphin, C"	C	IndianaPacers	eastern	1.974159
"John Collins, PF"	PF	AtlantaHawks	eastern	1.93692
"Rashad Vaughn, SG"	SG	MilwaukeeBucks	eastern	1.88904
"Wade Baldwin IV, PG"	PG	MemphisGrizzlies	western	1.8744
"Harry Giles, PF"	PF	SacramentoKings	western	1.8594
"Sam Dekker, SF"	SF	LAClippers	western	1.7946
"Henry Ellenson, F"	F	DetroitPistons	eastern	1.7808
"Eric Moreland, PF"	PF	DetroitPistons	eastern	1.739333
"Jerian Grant, PG"	PG	ChicagoBulls	eastern	1.71384
"Jarrett Allen, C"	C	BrooklynNets	eastern	1.71372
"Quincy Acy, SF"	SF	BrooklynNets	eastern	1.709538
"Jordan Crawford, SG"	SG	NewOrleansPelicans	western	1.709538
"Malik Beasley, SG"	SG	DenverNuggets	western	1.70064
"Ian Mahinmi, C"	C	WashingtonWizards	eastern	1.661641
"OG Anunoby, SF"	SF	TorontoRaptors	eastern	1.6452
"Delon Wright, PG"	PG	TorontoRaptors	eastern	1.6452
"Ante Zizic, PF"	PF	BostonCeltics	eastern	1.6452
"Caris LeVert, SG"	SG	BrooklynNets	eastern	1.63248
"Justin Anderson, SG"	SG	Philadelphia76ers	eastern	1.57944
"Tyler Lydon, PF"	PF	DenverNuggets	western	1.57944
"Robert Covington, SF"	SF	Philadelphia76ers	eastern	1.57723
"DeAndre Liggins, SG"	SG	LAClippers	western	1.57723
"Archie Goodwin, SG"	SG	BrooklynNets	eastern	1.57723
"Ryan Kelly, PF"	PF	AtlantaHawks	eastern	1.57723
"Troy Williams, SF"	SF	HoustonRockets	western	1.575133
"DeAndre' Bembry, SF"	SF	AtlantaHawks	eastern	1.5672
"Caron Butler, SF"	SF	SacramentoKings	western	1.551659
"Mitch McGary, PF"	PF	OklahomaCityThunder	western	1.52604
"Sean Kilpatrick, SG"	SG	BrooklynNets	eastern	1.524305
"Johnny O'Bryant III, PF"	PF	CharlotteHornets	eastern	1.524305
"Joffrey Lauvergne, C"	C	SanAntonioSpurs	western	1.524305
"Glenn Robinson III, SG"	SG	IndianaPacers	eastern	1.524305
"Bobby Portis, PF"	PF	ChicagoBulls	eastern	1.51632
"Malachi Richardson, SG"	SG	SacramentoKings	western	1.50456
"Marcelo Huertas, PG"	PG	HoustonRockets	western	1.5
"Jarell Martin, PF"	PF	MemphisGrizzlies	western	1.471382
"Mario Chalmers, PG"	PG	MemphisGrizzlies	western	1.471382
"Briante Weber, PG"	PG	CharlotteHornets	eastern	1.471382
"Raul Neto, PG"	PG	UtahJazz	western	1.471382
"Udonis Haslem, PF"	PF	MiamiHeat	eastern	1.471382
"Josh Richardson, SG"	SG	MiamiHeat	eastern	1.471382
"Pat Connaughton, SG"	SG	PortlandTrailBlazers	western	1.471382
"Jordan Mickey, PF"	PF	BostonCeltics	eastern	1.471382
"Caleb Swanigan, PF"	PF	PortlandTrailBlazers	western	1.46592
"Furkan Korkmaz, SG"	SG	Philadelphia76ers	eastern	1.46592
"Jordan Adams, SG"	SG	MemphisGrizzlies	western	1.46508
"Willy Hernangomez, C"	C	NewYorkKnicks	eastern	1.43575
"Kyle Kuzma, PF"	PF	LosAngelesLakers	western	1.42356
"Tony Bradley, C"	C	UtahJazz	western	1.41492
"Derrick White, PG"	PG	SanAntonioSpurs	western	1.4046
"Josh Hart, SG"	SG	LosAngelesLakers	western	1.39452
"Timothe Luwawu-Cabarrot, SG"	SG	Philadelphia76ers	eastern	1.3866
"Demetrius Jackson, G"	G	BostonCeltics	eastern	1.38475
"Guillermo Hernangomez, C"	C	NewYorkKnicks	eastern	1.35
"Brice Johnson, F"	F	LAClippers	western	1.33116
"Andrew Harrison, PG"	PG	MemphisGrizzlies	western	1.312611
"Wayne Selden, G"	G	MemphisGrizzlies	western	1.312611
"Deyonta Davis, F"	F	MemphisGrizzlies	western	1.312611
"Fred VanVleet, PG"	PG	TorontoRaptors	eastern	1.312611
"Treveon Graham, SG"	SG	CharlotteHornets	eastern	1.312611
"Joel Bolomboy, PF"	PF	UtahJazz	western	1.312611
"Bryn Forbes, SG"	SG	SanAntonioSpurs	western	1.312611
"Jake Layman, F"	F	PortlandTrailBlazers	western	1.312611
"Chasson Randle, PG"	PG	NewYorkKnicks	eastern	1.312611
"Marshall Plumlee, C"	C	NewYorkKnicks	eastern	1.312611
"Diamond Stone, C"	C	AtlantaHawks	eastern	1.312611
"Semi Ojeleye, PF"	PF	BostonCeltics	eastern	1.291892
"Jeremy Evans, SF"	SF	IndianaPacers	eastern	1.227286
"CJ Wilcox, SG"	SG	OrlandoMagic	eastern	1.2096
"Livio Jean-Charles, SF"	SF	SanAntonioSpurs	western	1.18884
"Frank Mason III, PG"	PG	SacramentoKings	western	1.184385
"Abdel Nader, SF"	SF	BostonCeltics	eastern	1.167333
"Tony Wroten, SG"	SG	MemphisGrizzlies	western	1.050961
"Chris Johnson, SF"	SF	UtahJazz	western	1.050961
"John Jenkins, SG"	SG	PhoenixSuns	western	1.050961
"Andrew Goudelock, PG"	PG	HoustonRockets	western	1.015696
"Anthony Bennett, PF"	PF	BrooklynNets	eastern	1.015696
"Lorenzo Brown, PG"	PG	DetroitPistons	eastern	1.015696
"Isaiah Canaan, PG"	PG	ChicagoBulls	eastern	1.015696
"JaKarr Sampson, SG"	SG	MemphisGrizzlies	western	0.980431
"Pablo Prigioni, PG"	PG	HoustonRockets	western	0.980431
"Marcus Thornton, SG"	SG	BrooklynNets	eastern	0.980431
"Devyn Marble, SF"	SF	LAClippers	western	0.980431
"Chris Wright, SF"	SF	OklahomaCityThunder	western	0.980431
"Henry Sims, C"	C	UtahJazz	western	0.980431
"Rasual Butler, SF"	SF	MinnesotaTimberwolves	western	0.980431
"Jordan Farmar, PG"	PG	SacramentoKings	western	0.980431
"Greg Stiemsma, C"	C	PortlandTrailBlazers	western	0.980431
"Lou Amundson, PF"	PF	NewYorkKnicks	eastern	0.980431
"Robbie Hummel, SF"	SF	DenverNuggets	western	0.980431
"Will Bynum, PG"	PG	AtlantaHawks	eastern	0.980431
"Rade Zagorac, SG"	SG	MemphisGrizzlies	western	0.95
"Ike Anigbogu, C"	C	IndianaPacers	eastern	0.95
"Reggie Williams, SF"	SF	NewOrleansPelicans	western	0.895197
"D.J. Stephens, SG"	SG	MemphisGrizzlies	western	0.874636
"D.J. Kennedy, SG"	SG	MemphisGrizzlies	western	0.874636
"Cliff Alexander, PF"	PF	OrlandoMagic	eastern	0.874636
"Nick Johnson, SG"	SG	OrlandoMagic	eastern	0.874636
"Kevin Murphy, SG"	SG	OrlandoMagic	eastern	0.874636
"Casper Ware, PG"	PG	WashingtonWizards	eastern	0.874636
"J.J. O'Brien, SF"	SF	MilwaukeeBucks	eastern	0.874636
"Aaron Harrison, SG"	SG	CharlotteHornets	eastern	0.874636
"Christian Wood, PF"	PF	CharlotteHornets	eastern	0.874636
"Duje Dukan, PF"	PF	SacramentoKings	western	0.874636
"Grant Jerrett, PF"	PF	PortlandTrailBlazers	western	0.874636
"Travis Wear, SF"	SF	LosAngelesLakers	western	0.874636
"John Holland, SG"	SG	ClevelandCavaliers	eastern	0.874636
"R.J. Hunter, SG"	SG	ChicagoBulls	eastern	0.864346
"Cameron Oliver, PF"	PF	HoustonRockets	western	0.815615
"Zhou Qi, PF"	PF	HoustonRockets	western	0.815615
"Sterling Brown, G"	G	MilwaukeeBucks	eastern	0.815615
"Dwayne Bacon, SG"	SG	CharlotteHornets	eastern	0.815615
"Royce O'Neale, SF"	SF	UtahJazz	western	0.815615
"Brandon Paul, SG"	SG	SanAntonioSpurs	western	0.815615
"Davon Reed, SG"	SG	PhoenixSuns	western	0.815615
"Maximilian Kleber, F"	F	DallasMavericks	western	0.815615
"Daniel Theis, PF"	PF	BostonCeltics	eastern	0.815615
"Tyler Dorsey, SG"	SG	AtlantaHawks	eastern	0.815615
"Vince Hunter, SF"	SF	MemphisGrizzlies	western	0.543471
